epoch,autocorr_step_0,autocorr_step_1,autocorr_step_2,autocorr_step_3,autocorr_step_4,autocorr_step_5,autocorr_step_6,autocorr_step_7,free_fid,clamped_fid
22,0.5603179335594177,0.20897828042507172,0.10745570808649063,0.06958341598510742,0.05327220261096954,0.04270324483513832,0.038610417395830154,0.020783286541700363,40.78,35.19
23,0.6529430150985718,0.30178824067115784,0.142344132065773,0.06170794740319252,0.06369321793317795,0.04905816912651062,0.04452011361718178,0.021648788824677467,49.63,38.34
24,0.6433535814285278,0.27509406208992004,0.13982097804546356,0.04656218737363815,0.0515582449734211,0.04905662313103676,0.04357588663697243,0.01886180229485035,54.66,42.59
25,0.6121312975883484,0.28828999400138855,0.1396608203649521,0.051568906754255295,0.05980517342686653,0.04471291974186897,0.042046163231134415,0.019911570474505424,57.47,46.71
26,0.6384118795394897,0.2814188003540039,0.1457478553056717,0.06634410470724106,0.06571056693792343,0.040131740272045135,0.04264570772647858,0.021055536344647408,68.56,57.26
27,0.5731616020202637,0.25101521611213684,0.11530253291130066,0.05354134365916252,0.04753059893846512,0.03400760889053345,0.028518667444586754,0.015699226409196854,76.75,62.61
28,0.5823050737380981,0.26042017340660095,0.15216809511184692,0.05621720105409622,0.053024958819150925,0.031396038830280304,0.03948459401726723,0.01597890444099903,81.7,69.14
29,0.5582962036132812,0.24914389848709106,0.1390039622783661,0.05511636659502983,0.04759002476930618,0.029184630140662193,0.042772430926561356,0.02012944594025612,98.57,85.89
30,0.44511133432388306,0.20025120675563812,0.10051588714122772,0.04665897786617279,0.037435028702020645,0.037321679294109344,0.03562270849943161,0.017067188397049904,112.96,97.96
31,0.4098922610282898,0.21896107494831085,0.10052797943353653,0.05401135981082916,0.042328670620918274,0.026915380731225014,0.03516755253076553,0.0218350887298584,110.31,94.59
32,0.44511494040489197,0.24101468920707703,0.11909320205450058,0.05872613191604614,0.03952530771493912,0.030540747568011284,0.03817577287554741,0.017548488453030586,112.6,99.21
33,0.4301837086677551,0.24544599652290344,0.10431048274040222,0.0533185750246048,0.04305058717727661,0.024916183203458786,0.046302419155836105,0.022969376295804977,120.44,106.96
34,0.4298117756843567,0.14781208336353302,0.10204575955867767,0.04180019721388817,0.033511124551296234,0.02264050580561161,0.02678193524479866,0.014466729015111923,124.04,112.66
35,0.3982033431529999,0.1794068068265915,0.10549664497375488,0.03390754014253616,0.03958655148744583,0.03500410541892052,0.04780326783657074,0.024676574394106865,126.51,115.43
36,0.34687069058418274,0.14605358242988586,0.09977875649929047,0.029105307534337044,0.02307794988155365,0.021042797714471817,0.0272129625082016,0.017589326947927475,135.61,123.46
37,0.3234497010707855,0.161262646317482,0.08509216457605362,0.03240456059575081,0.02868356555700302,0.021576745435595512,0.03281841799616814,0.02153976820409298,135.91,123.28
